domain,content-security-policy,contribute,cookies,cross-origin-resource-sharing,public-key-pinning,redirection,referrer-policy,strict-transport-security,subresource-integrity,x-content-type-options,x-frame-options,x-xss-protection
59dcmi.gov,0,0,1,1,1,0,1,0,0,0,0,0
aberdeenmd.gov,0,1,1,1,1,1,1,1,0,1,1,0
aberdeenwa.gov,0,0,1,1,1,0,1,0,1,1,1,0
abilenetx.gov,0,0,1,1,1,0,1,0,0,1,1,0
abingdon-va.gov,0,1,1,1,1,1,1,0,0,0,0,0
abingtonma.gov,0,1,1,1,1,0,1,0,1,1,1,0
abingtonpa.gov,0,0,1,1,1,0,1,1,0,1,1,0
abitaspringsla.gov,0,1,1,1,1,1,1,0,0,1,0,0
abseconnj.gov,0,1,1,1,1,1,1,0,0,0,0,0
accessprincetonnj.gov,0,1,1,1,1,0,1,0,1,0,0,0
acnj.gov,0,1,1,1,1,1,1,0,0,0,0,0
acnjpolice.gov,0,1,1,1,1,0,1,0,0,0,0,0
acton-ma.gov,0,0,1,1,1,1,1,0,0,1,1,0
actonma.gov,0,0,1,1,1,1,1,0,0,1,1,0
adak-ak.gov,0,0,1,1,1,1,1,0,0,1,1,0
adamn.gov,0,0,1,1,1,0,1,1,0,1,1,0
addisontx.gov,0,0,1,1,1,0,1,0,0,1,1,0
addisonwi.gov,0,1,1,1,1,1,1,1,0,0,0,0
adelantoca.gov,0,0,1,1,1,0,1,0,1,1,1,0
adrianmi.gov,2,2,2,2,2,2,2,2,2,2,2,2
aftonwyoming.gov,0,1,1,1,1,0,1,0,0,1,1,1
ahoskienc.gov,0,1,1,1,1,1,1,0,0,0,1,0
akronohio.gov,0,1,1,1,1,0,1,0,0,0,0,0
akronohiorescue.gov,0,1,1,1,1,1,1,0,0,0,0,0
alamedaca.gov,0,1,1,1,1,1,1,0,0,1,1,0
alamoheightstx.gov,0,1,1,1,1,0,1,1,0,1,1,1
albanyga.gov,0,0,1,1,1,0,1,1,1,1,1,0
albanyny.gov,0,0,1,1,1,0,1,0,1,1,1,0
albemarlenc.gov,0,0,1,1,1,0,1,0,0,1,1,0
albuquerque-nm.gov,2,2,2,2,2,2,2,2,2,2,2,2
aledoil.gov,0,1,1,1,1,0,1,0,1,1,1,0
aledotx.gov,0,1,1,1,1,1,1,1,1,1,1,0
aleknagikak.gov,0,1,1,1,1,0,1,0,1,0,0,0
alexandercityal.gov,0,0,1,1,1,1,1,0,0,1,1,0
alexandrianj.gov,0,0,1,1,1,0,1,0,0,0,0,0
alexandriava.gov,0,1,1,1,1,1,1,0,1,1,1,0
alfredme.gov,0,1,1,1,1,1,1,0,1,1,1,1
algercounty.gov,0,1,1,1,1,1,1,1,0,1,1,1
algonawa.gov,0,0,1,1,1,0,1,0,1,1,1,0
algoodtn.gov,2,2,2,2,2,2,2,2,2,2,2,2
aliquippapa.gov,0,1,1,1,1,1,1,0,1,0,0,0
allendalenj.gov,0,1,1,1,1,1,1,0,0,1,1,0
allenstownnh.gov,0,1,1,1,1,0,1,0,1,1,1,0
allentownpa.gov,0,0,1,1,1,1,1,0,0,0,1,0
almaarkansas.gov,0,1,1,1,1,1,1,1,0,0,0,0
almenatownship.gov,0,0,1,1,1,0,1,0,0,0,0,0
almontmichigan.gov,0,1,1,1,1,0,1,1,0,1,1,1
altavistava.gov,0,1,1,1,1,1,1,0,1,1,1,1
alton-tx.gov,0,1,1,1,1,1,1,0,1,1,1,1
altoona-wi.gov,0,0,1,1,1,0,1,0,0,0,0,0
altoonapa.gov,2,2,2,2,2,2,2,2,2,2,2,2
altusok.gov,0,0,1,1,1,0,1,0,1,1,1,0
alvin-tx.gov,0,0,1,1,1,0,1,0,0,0,0,0
alvordtx.gov,0,0,1,1,1,1,1,1,0,0,0,0
amarillo.gov,0,0,1,1,1,0,1,1,0,1,0,0
ameniany.gov,0,1,1,1,1,1,1,0,0,0,0,0
americanfork.gov,0,0,1,1,1,0,1,0,0,1,1,0
americusga.gov,0,0,1,1,1,0,1,0,0,1,0,0
amerywi.gov,0,0,1,1,1,0,1,0,0,1,1,0
amesburyma.gov,0,0,1,1,1,0,1,0,0,1,1,0
amherstma.gov,0,0,1,1,1,0,1,0,0,1,1,0
amherstnh.gov,0,1,1,1,1,0,1,0,1,1,1,0
amherstva.gov,0,1,1,1,1,1,1,0,0,1,0,1
amsterdamny.gov,0,0,1,1,1,0,1,0,1,1,1,0
anacorteswa.gov,0,0,1,1,1,0,1,0,1,1,1,0
anchorageak.gov,0,1,1,1,1,0,1,0,0,1,1,1
andalusiaal.gov,0,0,1,1,1,1,1,1,0,1,1,1
andersontx.gov,0,1,1,1,1,0,1,1,1,1,1,0
andover-nh.gov,0,1,1,1,1,0,1,0,1,1,1,0
andoverma.gov,0,0,1,1,1,1,1,0,0,1,1,0
andovermn.gov,0,0,1,1,1,0,1,0,1,1,1,0
angelfirenm.gov,0,0,1,1,1,0,1,0,1,1,1,0
angelscamp.gov,0,1,1,1,1,0,1,0,0,0,0,0
ankenyiowa.gov,0,0,1,1,1,0,1,1,0,1,1,0
annapolis.gov,2,2,2,2,2,2,2,2,2,2,2,2
annapolismd.gov,0,0,1,1,1,0,1,0,0,1,1,0
annatexas.gov,0,0,1,1,1,0,1,0,0,1,1,0
annettatx.gov,0,0,1,1,1,0,1,0,0,1,0,0
annistonal.gov,0,1,1,1,1,0,1,0,0,1,0,1
antiochca.gov,0,1,1,1,1,0,1,0,0,0,0,0
antiochtownshipil.gov,0,0,1,1,1,0,1,0,0,1,0,0
apachejunctionaz.gov,0,0,1,1,1,0,1,0,0,1,1,0
apopka.gov,0,0,1,1,1,1,1,1,0,1,1,0
appletonmn.gov,0,0,1,1,1,1,1,0,0,0,0,0
applevalleyca.gov,0,0,1,1,1,0,1,0,0,1,1,0
applevalleymn.gov,0,0,1,1,1,1,1,0,1,1,1,0
applevalleyut.gov,0,0,1,1,1,0,1,0,0,1,1,0
appomattoxva.gov,2,2,2,2,2,2,2,2,2,2,2,2
aptx.gov,0,0,1,1,1,1,1,0,1,1,1,0
aquinnah-ma.gov,0,1,1,1,1,0,1,0,1,1,1,0
aransaspasstx.gov,0,0,1,1,1,0,1,0,1,1,1,0
arcadia-fl.gov,0,1,1,1,1,1,1,0,0,0,0,0
arcadiaca.gov,0,1,1,1,1,1,1,1,0,1,1,1
archbaldboroughpa.gov,0,1,1,1,1,1,1,0,1,0,0,0
archdale-nc.gov,0,0,1,1,1,0,1,0,1,1,1,0
archerlodgenc.gov,0,1,1,1,1,1,1,0,0,0,1,0
arcolapdtx.gov,0,0,1,1,1,0,1,0,0,0,0,0
ardmoreok.gov,0,1,1,1,1,0,1,0,1,0,0,0
argentinetownship.gov,0,1,1,1,1,0,1,0,1,1,1,1
arkadelphia.gov,0,1,1,1,1,1,1,1,0,0,0,0
arkansascityks.gov,0,0,1,1,1,0,1,0,0,1,1,0
arlington-tx.gov,0,1,1,1,1,0,1,0,1,0,0,0
arlingtonma.gov,0,0,1,1,1,0,1,1,1,1,0,0
arlingtonne.gov,0,1,1,1,1,0,1,0,0,0,0,0
arlingtontx.gov,0,0,1,1,1,1,1,0,0,0,1,0
arlingtonwa.gov,0,0,1,1,1,0,1,0,0,1,1,0
artesianm.gov,0,0,1,1,1,0,1,0,1,1,1,0
arthur-il.gov,0,0,1,1,1,1,1,1,0,0,0,0
arvadaco.gov,2,2,2,2,2,2,2,2,2,2,2,2
ashburnham-ma.gov,0,1,1,1,1,0,1,0,0,1,1,0
ashbyma.gov,0,1,1,1,1,0,1,0,0,0,0,0
asheboronc.gov,0,1,1,1,1,1,1,0,0,1,1,1
ashevillenc.gov,0,1,1,1,1,1,1,0,0,0,0,0
ashgrovemo.gov,0,1,1,1,1,0,1,1,0,0,1,0
ashlandcitytn.gov,0,0,1,1,1,0,1,0,0,1,1,0
ashlandky.gov,0,1,1,1,1,0,1,0,0,1,1,1
ashlandva.gov,0,0,1,1,1,1,1,0,0,1,1,0
ashtoncityid.gov,0,1,1,1,1,0,1,0,0,0,1,0
ashtonid.gov,2,2,2,2,2,2,2,2,2,2,2,2
ashvilleohio.gov,0,0,1,1,1,0,1,0,1,0,0,0
ashwaubenon.gov,0,1,1,1,1,1,1,1,0,0,1,0
aspen.gov,0,0,1,1,1,1,1,1,0,1,1,0
athelstanewiclerk.gov,0,1,1,1,1,0,1,0,1,0,0,0
athenstn.gov,0,1,1,1,1,1,1,1,0,1,1,1
athenstx.gov,0,0,1,1,1,1,1,0,0,0,0,0
athol-ma.gov,0,1,1,1,1,0,1,0,1,1,1,0
atkinson-nh.gov,2,2,2,2,2,2,2,2,2,2,2,2
atlantaga.gov,0,0,1,1,1,0,1,0,0,1,0,0
atlantisfl.gov,0,0,1,1,1,1,1,0,1,1,1,0
attica-in.gov,0,1,1,1,1,1,1,1,0,0,0,0
atwatermn.gov,0,1,1,1,1,1,1,1,1,0,0,0
aubreytx.gov,0,0,1,1,1,0,1,0,1,1,1,0
auburnma.gov,0,0,1,1,1,0,1,0,1,1,1,0
auburnmaine.gov,0,0,1,1,1,0,1,0,1,0,1,0
auburnny.gov,0,1,1,1,1,0,1,0,0,1,1,0
auburnwa.gov,0,0,1,1,1,1,1,0,0,0,1,0
augustaga.gov,0,0,1,1,1,0,1,0,1,1,1,0
augustamaine.gov,0,1,1,1,1,0,1,0,0,1,1,1
auroramo.gov,0,1,1,1,1,0,1,0,1,0,0,0
auroratexas.gov,0,1,1,1,1,0,1,0,0,0,0,0
austellga.gov,0,0,1,1,1,1,1,0,0,0,0,0
austin.gov,0,0,1,1,1,0,1,0,0,1,1,0
austintexas.gov,0,0,1,1,1,1,1,1,0,1,1,0
austintx.gov,0,0,1,1,1,0,1,0,0,1,1,0
avon-ma.gov,0,1,1,1,1,0,1,0,1,1,1,0
avonct.gov,0,1,1,1,1,0,1,0,1,1,1,0
avondaleaz.gov,0,0,1,1,1,0,1,1,1,1,1,0
avondaleestatesga.gov,0,0,1,1,1,1,1,0,0,0,0,0
avonindiana.gov,0,0,1,1,1,0,1,0,1,1,1,0
az-fhsd.gov,0,1,1,1,1,1,1,1,0,1,0,1
aztecnm.gov,0,1,1,1,1,0,1,0,1,0,0,0
azusaca.gov,0,0,1,1,1,0,1,0,0,1,1,0
bainbridgewa.gov,0,0,1,1,1,0,1,0,1,1,1,0
bakercity.gov,0,0,1,1,1,1,1,0,0,0,0,0
bakercitypd.gov,0,0,1,1,1,1,1,0,0,0,0,0
balharbourfl.gov,0,1,1,1,1,1,1,0,0,0,0,0
baltimorecity.gov,0,1,1,1,1,1,1,1,0,1,1,0
bangormaine.gov,0,1,1,1,1,1,1,0,0,0,0,0
banningca.gov,0,0,1,1,1,1,1,1,1,1,1,0
bardstownky.gov,0,1,1,1,1,0,1,0,1,0,0,0
barharbormaine.gov,0,0,1,1,1,0,1,0,1,1,1,0
barlingar.gov,0,1,1,1,1,1,1,0,0,0,0,0
barnesvilleohio.gov,0,1,1,1,1,0,1,0,1,0,0,0
barrington-il.gov,0,1,1,1,1,1,1,0,0,1,1,1
barringtonhills-il.gov,0,1,1,1,1,1,1,0,1,0,0,0
barrytownshipmn.gov,0,1,1,1,1,1,1,1,0,0,0,0
bartlettil.gov,0,0,1,1,1,1,1,1,0,1,1,0
basslakewi.gov,0,1,1,1,1,1,1,0,1,0,0,0
batesvillearkansas.gov,2,2,2,2,2,2,2,2,2,2,2,2
battlecreekmi.gov,0,0,1,1,1,0,1,0,0,1,1,0
battlefieldmo.gov,0,1,1,1,1,0,1,0,1,1,1,0
baxleyga.gov,0,0,1,1,1,1,1,0,0,0,0,0
baxtermn.gov,0,0,1,1,1,0,1,1,0,1,1,0
bayharborislands-fl.gov,0,0,1,1,1,0,1,0,1,1,1,0
baysidewi.gov,0,0,1,1,1,1,1,1,0,0,0,0
baystlouis-ms.gov,0,1,1,1,1,1,1,1,0,0,0,0
bayvilleny.gov,0,1,1,1,1,1,1,0,0,0,0,0
beachhaven-nj.gov,0,1,1,1,1,1,1,0,1,0,0,0
beaconny.gov,0,1,1,1,1,1,1,1,0,0,0,0
bearcreektownshipmi.gov,0,1,1,1,1,1,1,0,1,0,0,0
beaumont-ca.gov,0,0,1,1,1,0,1,0,1,1,1,0
beaumontca.gov,0,0,1,1,1,0,1,0,1,1,1,0
beaumonttexas.gov,0,1,1,1,1,1,1,0,0,0,0,0
beauxarts-wa.gov,0,1,1,1,1,1,1,0,0,0,0,0
beavercreekohio.gov,0,0,1,1,1,0,1,0,0,1,1,0
beavertonoregon.gov,0,1,1,1,1,1,1,0,0,1,0,0
beavertwp-oh.gov,0,0,1,1,1,0,1,0,0,1,0,0
beckemeyeril.gov,0,1,1,1,1,0,1,0,1,0,0,0
bedfordchartertwpmi.gov,0,1,1,1,1,0,1,0,0,1,1,1
bedfordheights.gov,0,1,1,1,1,0,1,0,1,1,1,1
bedfordma.gov,0,1,1,1,1,0,1,0,0,1,1,0
bedfordny.gov,0,1,1,1,1,1,1,0,0,0,0,0
bedfordoh.gov,0,0,1,1,1,1,1,1,0,0,0,0
bedfordtx.gov,0,0,1,1,1,1,1,0,0,1,1,0
bedfordva.gov,0,0,1,1,1,0,1,0,0,1,1,0
beecavetexas.gov,0,1,1,1,1,0,1,0,1,0,0,0
belaireks.gov,0,0,1,1,1,0,1,0,1,1,1,0
belen-nm.gov,0,1,1,1,1,1,1,0,0,0,0,0
belgiumwi.gov,0,0,1,1,1,0,1,0,0,1,0,0
belgrademt.gov,0,0,1,1,1,0,1,0,1,0,0,0
bellairetx.gov,0,0,1,1,1,1,1,0,1,1,1,0
bellavistaar.gov,0,1,1,1,1,1,1,0,0,1,1,1
belleairbluffs-fl.gov,0,0,1,1,1,0,1,0,0,0,0,0
bellefontepa.gov,0,1,1,1,1,0,1,1,0,0,0,0
belleislefl.gov,0,0,1,1,1,0,1,0,0,1,1,0
bellemeade-ky.gov,0,1,1,1,1,0,1,0,1,0,0,0
belleplaineiowa.gov,0,1,1,1,1,1,1,1,1,0,1,0
belleplainemn.gov,0,0,1,1,1,0,1,0,1,1,1,0
belleriveacresmo.gov,0,1,1,1,1,0,1,0,0,1,1,0
bellevueia.gov,0,1,1,1,1,1,1,0,1,1,1,1
bellevuewa.gov,0,1,1,1,1,1,1,0,0,0,1,1
bellportvillageny.gov,0,1,1,1,1,0,1,0,0,1,0,0
belmont-ma.gov,0,1,1,1,1,0,1,0,0,1,1,0
belmont.gov,0,0,1,1,1,0,1,1,0,1,1,0
belmontnh.gov,0,1,1,1,1,1,1,0,1,0,0,0
beloitwi.gov,0,0,1,1,1,0,1,0,0,0,0,0
beltontexas.gov,0,1,1,1,1,1,1,0,0,1,1,1
benbrook-tx.gov,0,0,1,1,1,0,1,0,1,1,1,0
bendoregon.gov,0,0,1,1,1,0,1,0,0,1,0,0
benningtontownshipmi.gov,0,0,1,1,1,0,1,0,0,0,0,0
bensalempa.gov,2,2,2,2,2,2,2,2,2,2,2,2
bensonaz.gov,0,1,1,1,1,0,1,0,1,0,0,0
bensonvermont.gov,0,1,1,1,1,0,1,0,0,0,0,0
bentleyks.gov,0,0,1,1,1,0,1,0,0,0,0,0
bentonchartertownship-mi.gov,0,1,1,1,1,1,1,0,1,0,1,0
bentonil.gov,0,1,1,1,1,0,1,0,1,0,1,0
bentonwi.gov,0,1,1,1,1,0,1,0,0,0,0,0
bereaky.gov,0,1,1,1,1,1,1,0,1,0,0,0
bergenfieldnj.gov,0,1,1,1,1,0,1,0,1,0,0,0
bergenfieldnjpd.gov,0,0,1,1,1,0,0,1,0,0,0,0
berkeleyca.gov,2,2,2,2,2,2,2,2,2,2,2,2
berkeleyheights.gov,0,0,1,1,1,1,1,0,0,1,1,0
berlinal.gov,0,1,1,1,1,1,1,0,0,0,0,0
berlinct.gov,0,0,1,1,1,1,1,1,0,0,1,0
berlinmd.gov,0,1,1,1,1,1,1,0,0,0,0,0
berlinnh.gov,0,1,1,1,1,0,1,0,0,1,1,0
berlintwpmi.gov,0,1,1,1,1,0,1,0,0,0,0,0
berlinvt.gov,0,0,1,1,1,1,1,1,0,1,1,0
berryvillear.gov,0,1,1,1,1,1,1,1,1,0,0,0
berryvilleva.gov,0,0,1,1,1,0,1,0,1,1,1,0
berthold-nd.gov,0,1,1,1,1,0,1,0,1,0,0,0
berwickpa.gov,0,0,1,1,1,1,1,1,0,0,0,0
berwyn-il.gov,0,1,1,1,1,1,1,0,1,1,1,1
berwynheightsmd.gov,0,1,1,1,1,0,1,0,0,1,1,0
bethanybeach-de.gov,0,0,1,1,1,0,1,0,1,1,1,0
bethel-ct.gov,0,1,1,1,1,0,1,0,0,0,0,0
bethel-oh.gov,0,1,1,1,1,0,1,0,1,0,0,0
betheltwplebanon.gov,0,1,1,1,1,1,1,0,0,0,0,0
bethlehem-pa.gov,0,1,1,1,1,0,1,0,0,0,1,0
bethlehemnj.gov,0,1,1,1,1,0,1,1,1,0,0,0
bettendorf.gov,0,1,1,1,1,0,1,0,0,1,1,1
beverlyhills-ca.gov,0,1,1,1,1,0,1,0,0,0,0,0
beverlyhillsca.gov,0,1,1,1,1,0,1,0,0,0,0,0
beverlyma.gov,0,0,1,1,1,0,1,0,0,1,1,0
bhtx.gov,0,1,1,1,1,1,1,1,0,1,1,0
bigflatsny.gov,0,1,1,1,1,1,1,0,1,1,1,1
biggs-ca.gov,0,1,1,1,1,0,1,0,0,0,0,0
bigrapidstownshipmi.gov,0,1,1,1,1,1,1,1,0,0,0,0
bigsandytx.gov,0,0,1,1,1,0,1,0,1,0,0,0
billingsmt.gov,0,0,1,1,1,0,1,0,0,1,1,0
billingsmtpublicworks.gov,0,0,1,1,1,1,1,1,0,1,1,0
binghamton-ny.gov,0,0,1,1,1,0,1,0,1,1,1,0
birminghamal.gov,0,0,1,1,1,1,1,0,0,1,1,1
birminghamal911.gov,0,1,1,1,1,1,1,1,0,0,0,0
bisbeeaz.gov,0,0,1,1,1,0,1,0,1,1,1,0
biscayneparkfl.gov,0,0,1,1,1,0,1,0,0,0,0,0
bismarcknd.gov,0,0,1,1,1,1,1,0,1,1,1,0
bixbyok.gov,0,0,1,1,1,0,1,0,0,1,1,0
blackbrookwi.gov,0,0,1,1,1,0,1,0,0,0,0,0
blackdiamondwa.gov,0,1,1,1,1,0,1,0,1,1,1,0
blacksburg.gov,0,0,1,1,1,0,1,0,1,1,1,0
bladensburgmd.gov,0,1,1,1,1,1,1,0,0,1,1,1
blainemn.gov,0,0,1,1,1,1,1,0,0,1,1,0
blainetn.gov,0,1,1,1,1,0,1,0,1,0,0,0
blairsville-ga.gov,0,0,1,1,1,0,1,0,0,1,1,0
blairtownshipmi.gov,0,1,1,1,1,0,1,0,1,0,0,0
blanchardla.gov,2,2,2,2,2,2,2,2,2,2,2,2
blanding-ut.gov,0,0,1,1,1,0,1,0,0,1,0,0
blendontownship-mi.gov,0,0,1,1,1,0,1,0,0,0,0,0
blissfieldmichigan.gov,0,1,1,1,1,1,1,0,0,0,0,0
bloomfield-ct.gov,0,1,1,1,1,0,1,0,0,1,1,0
bloomfieldct.gov,0,1,1,1,1,0,1,0,0,1,1,0
bloomfieldnm.gov,0,1,1,1,1,0,1,0,0,0,0,0
bloomingdale-ga.gov,0,0,1,1,1,0,1,0,0,1,0,0
bloominggrove-ny.gov,0,1,1,1,1,0,1,0,0,0,1,0
bloomingtonelectionsil.gov,0,1,1,1,1,1,1,0,1,0,0,0
bloomingtonil.gov,0,0,1,1,1,0,1,1,0,1,0,0
bloomingtonmn.gov,0,1,1,1,1,0,1,0,0,1,1,0
blossomtexas.gov,0,1,1,1,1,1,1,0,0,0,0,0
bluehillme.gov,0,1,1,1,1,1,1,1,0,0,0,0
bluemoundtexas.gov,0,1,1,1,1,1,1,1,0,1,1,1
bluffcitytn.gov,0,1,1,1,1,0,1,1,0,0,0,0
blufftonindiana.gov,0,1,1,1,1,0,1,0,0,0,0,0
bocaraton-fl.gov,2,2,2,2,2,2,2,2,2,2,2,2
boerne-tx.gov,0,1,1,1,1,0,1,0,0,1,1,0
bonneytexas.gov,0,1,1,1,1,0,1,0,1,0,0,0
booneville-ms.gov,0,1,1,1,1,0,1,0,1,1,1,1
borgertx.gov,0,0,1,1,1,0,1,0,1,1,1,0
boscawennh.gov,0,1,1,1,1,0,1,0,1,1,1,0
bosquefarmsnm.gov,0,1,1,1,1,1,1,0,0,0,0,0
boston.gov,0,1,1,1,1,1,1,1,0,1,1,0
bothellwa.gov,0,0,1,1,1,0,1,0,0,1,1,0
bouldercolorado.gov,0,1,1,1,1,1,1,0,1,1,1,0
bountifulutah.gov,0,0,1,1,1,0,1,0,0,0,0,0
bourbon-in.gov,0,1,1,1,1,0,1,0,0,0,1,0
bowersde.gov,0,1,1,1,1,0,1,0,1,0,0,0
bowlinggreen-mo.gov,0,1,1,1,1,1,1,1,0,0,0,0
bowmar.gov,0,1,1,1,1,1,1,1,1,0,0,0
bownh.gov,0,0,1,1,1,0,1,0,1,1,1,0
bownhpd.gov,0,1,1,1,1,0,1,0,0,0,0,0
boxborough-ma.gov,0,0,1,1,1,0,1,0,0,1,1,0
boxfordma.gov,0,1,1,1,1,0,1,0,1,1,1,0
boydwi.gov,0,1,1,1,1,1,1,1,0,0,0,0
boylston-ma.gov,0,1,1,1,1,0,1,0,0,1,1,0
bradentonfl.gov,0,0,1,1,1,0,1,0,0,0,0,0
bradfordwoods.gov,0,0,1,1,1,0,1,0,1,1,1,0
bradleybeachnj.gov,0,1,1,1,1,0,1,0,1,1,1,0
braintreema.gov,0,0,1,1,1,1,1,0,0,1,1,0
braintreevt.gov,0,1,1,1,1,1,1,1,0,0,0,0
branford-ct.gov,0,1,1,1,1,1,1,0,0,0,1,0
bransonmo.gov,0,0,1,1,1,1,1,0,0,1,1,0
breckenridgetx.gov,0,0,1,1,1,0,1,0,0,1,1,0
bremenga.gov,0,1,1,1,1,0,1,0,1,0,0,0
brentwoodca.gov,0,0,1,1,1,0,1,1,0,1,1,0
brentwoodmd.gov,0,0,1,1,1,0,1,0,1,1,1,0
brentwoodnh.gov,0,0,1,1,1,1,1,0,1,1,1,1
brewermaine.gov,0,1,1,1,1,1,1,0,0,0,0,0
brewster-ma.gov,0,1,1,1,1,1,1,0,1,0,0,0
brewstervillage-ny.gov,0,1,1,1,1,1,1,0,0,1,0,0
briarcliffmanor.gov,0,1,1,1,1,0,1,0,1,1,1,0
bricktownship-nj.gov,0,1,1,1,1,0,1,0,0,1,0,1
bridgeportct.gov,0,1,1,1,1,1,1,0,0,0,0,0
bridgeview-il.gov,0,1,1,0,1,0,1,0,1,0,0,0
bridgewater-ct.gov,0,1,1,1,1,0,1,0,1,1,1,0
bridgewaterma.gov,0,0,1,1,1,0,1,0,1,1,1,0
bridgewaternj.gov,0,0,1,1,1,0,1,0,0,0,1,0
briellenj.gov,0,1,1,1,1,1,1,1,0,1,1,0
brightonco.gov,0,0,1,1,1,0,1,0,1,1,1,0
brightonvt.gov,0,1,1,1,1,0,1,1,0,1,0,0
brimfieldohio.gov,0,1,1,1,1,1,1,0,0,0,0,0
bristolct.gov,2,2,2,2,2,2,2,2,2,2,2,2
bristolri.gov,0,0,1,1,1,1,1,0,0,1,1,0
brla.gov,0,0,1,1,1,0,1,0,0,1,1,0
broadview-il.gov,0,1,1,1,1,1,1,0,0,1,0,1
broadwayva.gov,0,1,1,1,1,1,1,0,1,0,0,0
brockton-ma.gov,0,1,1,1,1,0,1,0,0,0,0,0
brockwaytwpmn.gov,0,0,1,1,1,1,1,1,1,0,0,0
brokenarrowok.gov,0,0,1,1,1,0,1,0,0,1,1,0
brookfield-wi.gov,2,2,2,2,2,2,2,2,2,2,2,2
brookfieldct.gov,0,1,1,1,1,0,1,0,0,1,1,0
brookfieldil.gov,0,1,1,1,1,0,1,0,0,0,0,0
brookhaven-ms.gov,0,1,1,1,1,1,1,0,0,0,0,0
brookhavenga.gov,0,0,1,1,1,0,1,0,0,1,1,0
brookhavenny.gov,0,1,1,1,1,0,1,0,0,1,1,0
brooklinema.gov,0,0,1,1,1,0,1,0,0,1,1,0
brooklynohio.gov,0,0,1,1,1,0,1,0,1,1,1,0
brooklyntownwashburnwi.gov,0,0,1,1,1,0,1,0,0,1,0,0
brooklynwi.gov,0,1,1,1,1,1,1,1,0,0,0,0
brookvillepoliceny.gov,0,0,1,1,1,0,1,0,0,0,0,0
brownstownmi.gov,0,0,1,1,1,1,1,0,0,0,0,0
brownsvilletn.gov,0,1,1,1,1,1,1,0,0,0,0,0
brownsvilletx.gov,0,1,1,1,1,1,1,0,1,0,1,0
brownsvillewi.gov,0,0,1,1,1,0,1,0,0,0,0,0
brownwoodtexas.gov,0,0,1,1,1,0,1,0,0,1,1,0
brulewi.gov,0,1,1,1,1,1,1,1,0,0,0,0
brunswickmd.gov,0,0,1,1,1,1,1,0,0,0,0,0
bryantx.gov,2,2,2,2,2,2,2,2,2,2,2,2
brycecanyoncityut.gov,0,0,1,1,1,0,1,0,0,0,0,0
brysoncitync.gov,0,0,1,1,1,0,1,0,0,0,0,0
buchanan-va.gov,0,1,1,1,1,0,1,0,0,0,0,0
buchananga.gov,0,1,1,1,1,1,1,1,0,0,0,0
buckeyeaz.gov,0,0,1,1,1,0,1,1,0,1,1,0
bucksportmaine.gov,0,0,1,1,1,0,1,0,0,0,0,0
budatx.gov,0,0,1,1,1,0,1,0,1,1,1,0
buenavistaco.gov,0,0,1,1,1,0,1,0,0,1,1,0
bullvalleyil.gov,0,1,1,1,1,1,1,0,0,0,0,0
bulverdetx.gov,0,0,1,1,1,0,1,0,0,1,1,0
bunkerhilltx.gov,0,1,1,1,1,1,1,1,1,1,0,1
burbankca.gov,0,1,1,1,1,0,1,1,1,1,1,1
burbankil.gov,0,1,1,1,1,0,1,0,1,1,1,1
burgawnc.gov,0,0,1,1,1,1,1,1,1,1,1,0
burienwa.gov,0,0,1,1,1,1,1,0,0,0,1,0
burkittsville-md.gov,0,1,1,1,1,1,1,0,0,0,0,0
burlesontx.gov,0,0,1,1,1,0,1,0,0,0,0,0
burlington-wi.gov,0,0,1,1,1,0,1,0,1,1,1,0
burlingtonkansas.gov,0,0,1,1,1,1,1,0,1,0,0,0
burlingtonnc.gov,0,0,1,1,1,0,1,0,0,1,1,0
burlingtonnd.gov,0,0,1,1,1,0,1,0,0,0,0,0
burlingtonvt.gov,0,1,1,1,1,0,1,0,0,1,1,0
burlingtonwa.gov,0,0,1,1,1,1,1,0,0,1,1,0
burnham-il.gov,0,1,1,1,1,1,1,0,1,0,0,0
burnsharbor-in.gov,0,0,1,1,1,1,1,0,1,1,1,0
burnsvillemn.gov,0,0,1,1,1,1,1,0,0,1,1,0
burr-ridge.gov,0,1,1,1,1,1,1,0,0,1,1,1
burtonmi.gov,0,1,1,1,1,1,1,0,1,1,1,1
butlerwi.gov,0,1,1,1,1,1,1,0,0,0,0,0
byesvilleoh.gov,0,0,1,1,1,0,1,0,0,0,0,0
cabotar.gov,0,0,1,1,1,0,1,0,0,1,1,0
cabq.gov,0,1,1,1,1,0,1,0,0,0,1,0
calaisvermont.gov,0,0,1,1,1,0,1,0,0,0,0,0
caldwelltx.gov,0,1,1,1,1,0,1,0,0,0,0,0
caledonia-wi.gov,0,1,1,1,1,0,1,0,1,1,1,0
caledoniamn.gov,0,1,1,1,1,0,1,0,1,0,0,0
caledoniaoh.gov,0,1,1,1,1,1,1,1,1,0,0,0
calhounfalls.gov,0,1,1,1,1,1,1,1,1,0,0,0
californiacity-ca.gov,0,1,1,1,1,0,1,0,1,0,0,0
calumettwp-in.gov,0,1,1,1,1,0,1,0,1,0,0,0
calvertcityky.gov,0,1,1,1,1,1,1,1,0,0,0,0
cambridgema.gov,0,0,1,1,1,0,1,0,0,0,0,0
cambridgeny.gov,0,0,1,1,1,0,1,0,0,0,0,0
